Date,Percent per annum
2022-06-15 12:00:00,0.0
2022-07-16 00:00:00,0.08064516129032258
2022-08-16 00:00:00,0.5
2022-09-15 12:00:00,0.925
2022-10-16 00:00:00,1.25
2022-11-15 12:00:00,1.975
2022-12-16 00:00:00,2.1774193548387095
2023-01-16 00:00:00,2.5
2023-02-14 12:00:00,2.875
2023-03-16 00:00:00,3.161290322580645
2023-04-11 12:00:00,3.5
