,Date,Adj Close,Volume,ezb_funds,fed_funds_for_banks,fed_funds_for_customer,Monthly Return
0,2009-10-01,16.75,850.0,1.0,0.12,3.25,0.0
1,2009-11-01,16.855,1066.0,1.0,0.12,3.25,0.6268656716417936
2,2009-12-01,18.01,1117.0,1.0,0.12,3.25,6.8525660041530765
3,2010-01-01,17.940001,2789.0,1.0,0.11,3.25,-0.38866740699612884
4,2010-02-01,18.370001,96452.0,1.0,0.13,3.25,2.3968783502297453
5,2010-03-01,19.67,104653.0,1.0,0.16,3.25,7.076749750857409
6,2010-04-01,20.09,49466.0,1.0,0.2,3.25,2.135231316725969
7,2010-05-01,19.559999,61775.0,1.0,0.2,3.25,-2.638133399701337
8,2010-06-01,19.02,14847.0,1.0,0.18,3.25,-2.760731224986267
9,2010-07-01,19.209999,18603.0,1.0,0.18,3.25,0.9989432176656164
10,2010-08-01,19.4,384312.0,1.0,0.19,3.25,0.9890734507586324
11,2010-09-01,19.440001,11275.0,1.0,0.19,3.25,0.20619072164948546
12,2010-10-01,19.559999,38508.0,1.0,0.19,3.25,0.6172736307986944
13,2010-11-01,20.49,146865.0,1.0,0.19,3.25,4.754606582546335
14,2010-12-01,21.5,38671.0,1.0,0.18,3.25,4.929233772571994
15,2011-01-01,21.34,244736.0,1.0,0.17,3.25,-0.7441860465116286
16,2011-02-01,21.879999,25262.0,1.0,0.16,3.25,2.5304545454545533
17,2011-03-01,21.040001,128192.0,1.0,0.14,3.25,-3.839113520983256
18,2011-04-01,20.969999,27795.0,1.15,0.1,3.25,-0.33270910966210876
19,2011-05-01,21.190001,33355.0,1.25,0.09,3.25,1.0491273747795473
20,2011-06-01,20.73,65663.0,1.25,0.09,3.25,-2.170839916430388
21,2011-07-01,20.59,145674.0,1.403225806451613,0.07,3.25,-0.6753497346840356
22,2011-08-01,19.09,189383.0,1.5,0.1,3.25,-7.285089849441477
23,2011-09-01,18.709999,111566.0,1.5,0.08,3.25,-1.990576217915139
24,2011-10-01,19.889999,45736.0,1.5,0.07,3.25,6.306788151084347
25,2011-11-01,19.99,384411.0,1.3166666666666669,0.08,3.25,0.5027702615771821
26,2011-12-01,20.799999,115356.0,1.1048387096774193,0.07,3.25,4.05202101050526
27,2012-01-01,21.58,265107.0,1.0,0.08,3.25,3.7500049879810025
28,2012-02-01,22.209999,207611.0,1.0,0.1,3.25,2.919365152919377
