"CubeId";"snboffzisa"
"PublishingDate";"2023-04-21 09:00"

"Date";"D0";"Value"
"2021-09";"UG1";"0"
"2021-09";"OG1";"0.25"
"2021-10";"UG1";"0"
"2021-10";"OG1";"0.25"
"2021-11";"UG1";"0"
"2021-11";"OG1";"0.25"
"2021-12";"UG1";"0"
"2021-12";"OG1";"0.25"
"2022-01";"UG1";"0"
"2022-01";"OG1";"0.25"
"2022-02";"UG1";"0"
"2022-02";"OG1";"0.25"
"2022-03";"UG1";"0.25"
"2022-03";"OG1";"0.5"
"2022-04";"UG1";"0.25"
"2022-04";"OG1";"0.5"
"2022-05";"UG1";"0.75"
"2022-05";"OG1";"1"
"2022-06";"UG1";"1.5"
"2022-06";"OG1";"1.75"
"2022-07";"UG1";"2.25"
"2022-07";"OG1";"2.5"
"2022-08";"UG1";"2.25"
"2022-08";"OG1";"2.5"
"2022-09";"UG1";"3"
"2022-09";"OG1";"3.25"
"2022-10";"UG1";"3"
"2022-10";"OG1";"3.25"
"2022-11";"UG1";"3.75"
"2022-11";"OG1";"4"
"2022-12";"UG1";"4.25"
"2022-12";"OG1";"4.5"
"2023-01";"UG1";"4.25"
"2023-01";"OG1";"4.5"
"2023-02";"UG1";"4.5"
"2023-02";"OG1";"4.75"
"2023-03";"UG1";"4.75"
"2023-03";"OG1";"5"
